indx,pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility
946,HD 204313 e,HD 204313,HD 204313,1,3,Radial Velocity,2022,7.444845,12.2,4841.00771,0.253187,G5 V,1.13,1.03,47.7945,Multiple Observatories
947,HD 27894 b,HD 27894,HD 27894,1,3,Radial Velocity,2005,0.125367,14.1,196.85951,0.046978,K2 V,0.89,0.81,43.8214,La Silla Observatory
948,HD 27894 c,HD 27894,HD 27894,1,3,Radial Velocity,2017,0.198,8.24,51.48846,0.015,K2 V,0.89,0.8,43.8214,La Silla Observatory
949,HD 27894 d,HD 27894,HD 27894,1,3,Radial Velocity,2017,5.359964,12.7,2155.40718,0.342834,K2 V,0.89,0.81,43.8214,La Silla Observatory
950,HD 28109 b,HD 28109,HD 28109,1,3,Transit,2022,0.1357,2.199,18.496,0.3307,F8/G0 V,1.45,1.26,139.611,Transiting Exoplanet Survey Satellite (TESS)
951,HD 28109 c,HD 28109,HD 28109,1,3,Transit,2022,0.308,4.23,7.943,0.1203,F8/G0 V,1.45,1.26,139.611,Transiting Exoplanet Survey Satellite (TESS)
952,HD 28109 d,HD 28109,HD 28109,1,3,Transit,2022,0.411,3.25,5.681,0.0864,F8/G0 V,1.45,1.26,139.611,Transiting Exoplanet Survey Satellite (TESS)
953,HD 31527 b,HD 31527,HD 31527,1,3,Radial Velocity,2019,0.1254,3.22,10.47,0.1,G2 V,1.07,0.96,38.4473,La Silla Observatory
954,HD 31527 c,HD 31527,HD 31527,1,3,Radial Velocity,2019,0.2663,3.85,14.16,0.04,G2 V,1.07,0.96,38.4473,La Silla Observatory
955,HD 31527 d,HD 31527,HD 31527,1,3,Radial Velocity,2019,0.8098,3.46,11.82,0.24,G2 V,1.07,0.96,38.4473,La Silla Observatory
956,HD 33142 b,HD 33142,HD 33142,1,3,Radial Velocity,2011,1.074,13.7,400.46379,0.049,K0 III,4.17,1.52,121.375,W. M. Keck Observatory
957,HD 33142 c,HD 33142,HD 33142,1,3,Radial Velocity,2018,1.955,13.9,282.86728,0.081,K0 III,4.17,1.52,121.375,W. M. Keck Observatory
958,HD 33142 d,HD 33142,HD 33142,1,3,Radial Velocity,2022,0.452,9.32,63.56568,0.191,K0 III,4.17,1.52,121.375,Multiple Observatories
959,HD 37124 b,HD 37124,HD 37124,1,3,Radial Velocity,2002,0.53364,14.0,214.53525,0.054,G4 V,0.95,0.85,31.6634,W. M. Keck Observatory
960,HD 37124 c,HD 37124,HD 37124,1,3,Radial Velocity,2002,1.71,14.1,207.22516,0.125,G4 V,0.95,0.85,31.6634,W. M. Keck Observatory
961,HD 37124 d,HD 37124,HD 37124,1,3,Radial Velocity,2005,2.807,14.0,221.20968,0.16,G4 V,0.95,0.85,31.6634,W. M. Keck Observatory
962,HD 39091 b,HD 39091,HD 39091,1,3,Radial Velocity,2001,3.309065,12.4,3889.98524,0.642306,G0 V,1.19,1.1,18.2702,Anglo-Australian Telescope
963,HD 39194 b,HD 39194,HD 39194,1,3,Radial Velocity,2021,0.056,1.83,4.0,0.207,K0 V,0.78,0.67,26.4131,La Silla Observatory
964,HD 39194 c,HD 39194,HD 39194,1,3,Radial Velocity,2021,0.103,2.39,6.3,0.154,K0 V,0.78,0.67,26.4131,La Silla Observatory
965,HD 39194 d,HD 39194,HD 39194,1,3,Radial Velocity,2021,0.185,1.83,4.0,0.333,K0 V,0.78,0.67,26.4131,La Silla Observatory
966,HD 69830 b,HD 69830,HD 69830,1,3,Radial Velocity,2006,0.0785,3.17,10.2,0.1,K0V,0.89,0.86,12.5591,La Silla Observatory
967,HD 69830 c,HD 69830,HD 69830,1,3,Radial Velocity,2006,0.186,3.46,11.8,0.13,K0V,0.89,0.86,12.5591,La Silla Observatory
968,HD 69830 d,HD 69830,HD 69830,1,3,Radial Velocity,2006,0.63,4.45,18.1,0.07,K0V,0.89,0.86,12.5591,La Silla Observatory
969,HD 7924 b,HD 7924,HD 7924,1,3,Radial Velocity,2008,0.06,2.4,6.3566,0.06,K0.5 V,0.78,0.65,16.9922,W. M. Keck Observatory
970,HD 7924 c,HD 7924,HD 7924,1,3,Radial Velocity,2015,0.1134,2.72,7.86,0.098,K0.5 V,0.78,0.83,16.9922,W. M. Keck Observatory
971,HD 7924 d,HD 7924,HD 7924,1,3,Radial Velocity,2015,0.1551,2.42,6.44,0.21,K0.5 V,0.78,0.83,16.9922,W. M. Keck Observatory
972,HD 93385 b,HD 93385,HD 93385,1,3,Radial Velocity,2021,0.0756,1.88,4.2,0.295,G2/G3 V,1.18,1.04,43.3475,La Silla Observatory
973,HD 93385 c,HD 93385,HD 93385,1,3,Radial Velocity,2021,0.112,2.56,7.1,0.2,G2/G3 V,1.18,1.04,43.3475,La Silla Observatory
974,HD 93385 d,HD 93385,HD 93385,1,3,Radial Velocity,2021,0.2565,2.89,8.7,0.09,G2/G3 V,1.18,1.04,43.3475,La Silla Observatory
975,HD 96700 b,HD 96700,HD 96700,1,3,Radial Velocity,2021,0.0777,2.93,8.9,0.138,G0 V,1.16,0.89,25.4111,La Silla Observatory
976,HD 96700 c,HD 96700,HD 96700,1,3,Radial Velocity,2021,0.141,1.69,3.5,0.293,G0 V,1.16,0.89,25.4111,La Silla Observatory
977,HD 96700 d,HD 96700,HD 96700,1,3,Radial Velocity,2021,0.424,3.61,12.7,0.27,G0 V,1.16,0.89,25.4111,La Silla Observatory
978,HIP 14810 b,HIP 14810,HIP 14810,1,3,Radial Velocity,2005,0.0696,13.0,1239.537,0.14399,G5,1.07,1.01,50.48,W. M. Keck Observatory
979,HIP 14810 c,HIP 14810,HIP 14810,1,3,Radial Velocity,2006,0.549,13.6,416.3573,0.1566,G5,1.07,1.01,50.48,W. M. Keck Observatory
980,HIP 14810 d,HIP 14810,HIP 14810,1,3,Radial Velocity,2009,1.94,14.1,187.5197,0.185,G5,1.07,1.01,50.48,W. M. Keck Observatory
981,HIP 57274 b,HIP 57274,HIP 57274,1,3,Radial Velocity,2011,0.07,2.4,6.3566,0.19,K4 V,0.78,0.29,25.8618,W. M. Keck Observatory
982,HIP 57274 c,HIP 57274,HIP 57274,1,3,Radial Velocity,2011,0.178,14.2,130.0,0.05,K4 V,0.68,0.73,25.8618,W. M. Keck Observatory
983,HIP 57274 d,HIP 57274,HIP 57274,1,3,Radial Velocity,2011,1.01,14.2,167.4,0.27,K4 V,0.68,0.73,25.8618,W. M. Keck Observatory
984,K2-155 b,K2-155,K2-155,1,3,Transit,2018,0.0562,1.8,3.89,,K7,0.58,0.65,72.7998,K2
985,K2-155 c,K2-155,K2-155,1,3,Transit,2018,0.0946,2.6,7.27,,K7,0.58,0.65,72.7998,K2
